Wk,Date,Rk,School,Prev,Chng,Conf
21,Postseason,1,Louisville* RTFN,2,1,Big East
21,Postseason,2,Michigan* F,11,9,Big Ten
21,Postseason,3,Syracuse* F,18,15,Big East
21,Postseason,4,Wichita State* F,,,MVC
21,Postseason,5,Duke*,7,2,ACC
21,Postseason,6,Ohio State* T,6,NC,Big Ten
21,Postseason,7,Indiana* R,4,3,Big Ten
21,Postseason,8,Kansas* RT,3,5,Big 12
21,Postseason,9,Florida* R,12,3,SEC
21,Postseason,10,Miami (FL)* RT,4,6,ACC
21,Postseason,11,Marquette* R,16,5,Big East
21,Postseason,12,Gonzaga* RT,1,11,WCC
21,Postseason,13,Michigan State*,9,4,Big Ten
21,Postseason,14,Arizona*,20,6,Pac-12
21,Postseason,15,Oregon* T,24,9,Pac-12
21,Postseason,16,Saint Louis* RT,13,3,A-10
21,Postseason,17,Georgetown* R,8,9,Big East
21,Postseason,18,Memphis* RT,15,3,CUSA
21,Postseason,19,New Mexico* RT,10,9,MWC
21,Postseason,20,Kansas State* R,14,6,Big 12
21,Postseason,21,Creighton* RT,21,NC,MVC
21,Postseason,22,Wisconsin*,17,5,Big Ten
21,Postseason,23,Virginia Commonwealth*,23,NC,A-10
21,Postseason,24,La Salle*,,,A-10
21,Postseason,25,Florida Gulf Coast* T,,,A-Sun
Wk,Date,Rk,School,Prev,Chng,Conf
20,Final,1,Gonzaga* RT,,,WCC
20,Final,2,Louisville* RTFN,,,Big East
20,Final,3,Kansas* RT,,,Big 12
20,Final,4,Miami (FL)* RT,,,ACC
20,Final,4,Indiana* R,,,Big Ten
20,Final,6,Ohio State* T,,,Big Ten
20,Final,7,Duke*,,,ACC
20,Final,8,Georgetown* R,,,Big East
20,Final,9,Michigan State*,,,Big Ten
20,Final,10,New Mexico* RT,,,MWC
20,Final,11,Michigan* F,,,Big Ten
20,Final,12,Florida* R,,,SEC
20,Final,13,Saint Louis* RT,,,A-10
20,Final,14,Kansas State* R,,,Big 12
20,Final,15,Memphis* RT,,,CUSA
20,Final,16,Marquette* R,,,Big East
20,Final,17,Wisconsin*,,,Big Ten
20,Final,18,Syracuse* F,,,Big East
20,Final,19,Oklahoma State*,,,Big 12
20,Final,20,Arizona*,,,Pac-12
20,Final,21,Creighton* RT,,,MVC
20,Final,22,Pittsburgh*,,,Big East
20,Final,23,Virginia Commonwealth*,,,A-10
20,Final,24,Oregon* T,,,Pac-12
